gene
CLEC3A
CPB1
SCGB2A2
SCGB1D2
TFF1
MUCL1
GSTM1
PIP
ADIPOQ
ADH1B
HMGCS2
S100A7
CYP2B7P1
ANKRD30A
TAT
PRAME
CYP4Z1
SERPINA6
AGR3
UGT2B11
TFAP2B
MUC6
KCNJ3
DHRS2
MYBPC1
KRT14
C4orf7
SLC30A8
GABRP
SOX10
STAC2
KRT5
VSTM2A
COL2A1
CEACAM5
TUSC5
CALML5
GP2
GSTT1
FABP7
C1orf64
KRT6B
LEP
CRABP1
MUC5B
PIGR
SYT13
LTF
TFF3
FABP4
GRIA2
CST1
CIDEC
KLK11
KLK5
OLFM4
BMPR1B
CST9
HOXB13
CEACAM6
SLC34A2
CYP2A6
TCN1
CLCA2
LRP2
KRT17
AGR2
ABCC11
DSG3
PROM1
C20orf114
CRISP3
ELF5
NPY1R
KCNC2
KRT6A
CP
KIF1A
PVALB
MUC16
OBP2B
CGA
GFRA1
CYP4F8
TNNT1
PGR
AQP5
PLIN1
GPD1
KRT16
BPIL1
VGLL1
KLK6
MSLN
KLK7
KRT81
SERPINA11
FAM5C
SLC5A8
WIF1
NLRP2
CBLN2
SLC6A14
CIDEA
KLK10
EEF1A2
CA9
PI16
A2ML1
ALB
COL17A1
MMP1
PTPRT
LBP
CALML3
PPP1R1B
SFRP1
MUC15
DCD
CYP4Z2P
BEX1
C7
SCGB2A1
S100P
NXPH1
CNTNAP2
LRRC31
PLIN4
PPP2R2C
SCGB3A1
SLC6A4
ORM1
KLHDC7A
SLITRK6
RPS28
PROL1
MMP13
PCK1
FOLR1
CXCL13
C10orf82
FOXI1
SYT9
DSC3
ANKRD30B
ESR1
GRPR
MIA
PDZK1
HBA1
SCARA5
COL11A1
CST5
IGSF1
PLA2G2A
CDC20B
DLK1
SERPINB5
CHAD
CXCL17
ASCL1
DIO1
CD300LG
SAA2
SORCS1
GLRA3
ROPN1
SLC5A1
MAGEA6
NBPF4
PTPRZ1
ABCA12
MUC2
PYDC1
LCN2
KRT15
CLIC6
WNK4
PEG10
ATP13A5
AQP7
SAA1
SPAG6
C2orf54
CARTPT
ABCC8
PI3
RBP4
CASP14
TMPRSS4
TF
SDR16C5
PPAN-P2RY11
NKAIN1
CAPN8
MSMB
CCL21
CAPN6
LRP1B
LY6D
ARHGAP36
BBOX1
GSTA1
PGLYRP2
CYP4F22
MS4A15
GLYATL2
SLC44A4
S100A7A
CHRDL1
S100A8
SOSTDC1
SCUBE2
TMEM132C
SLC19A3
TSPAN8
DSG1
NEK10
HS6ST3
KLK8
NBPF6
SLC13A2
SLC7A4
TRH
PON3
FGB
ORM2
RIMS4
THRSP
VTCN1
TRIM29
ROPN1B
S100A9
PCOLCE2
EDN3
IL20
ANXA8
SERPINA5
MAGEA3
LPPR3
NCRNA00052
FAM3B
ERBB4
WFDC2
PPP1R1A
SYT8
ZIC1
